Date,Plant,Smp,Trmt,Tap_Lat,Diam,Tube_Mass,Tube_Smp,Smp_Mass,Plate,Raw_Abs,Abs_Blk,Abs_Mass,,,,,
3/27/2018,84,168,B,Lat,0.3,1737.646,1738.413,0.767,F12,0.042,0.024,0.031,,,,,
3/14/2018,2,4,B,Lat,0.6,1734.519,1735.412,0.893,F7,0.054,0.030,0.034,,,,,
3/27/2018,91,182,B,Lat,0.2,1740.525,1740.731,0.206,F11,0.035,0.010,0.049,,,,,
3/20/2018,46,91,L,Tap,1.1,1740.134,1739.116,-1.018,D6,0.022,-0.001,0.001,,,,,
3/27/2018,89,177,L,Tap,0.8,1692.430,1709.341,16.911,D1,0.148,0.123,0.007,,,,,
3/14/2018,20,39,L,Tap,1.0,1729.414,1733.236,3.822,H9,0.060,0.035,0.009,,,,,
3/14/2018,19,37,L,Tap,1.3,1725.952,1732.053,6.101,G11,0.090,0.062,0.010,,,,,
3/14/2018,14,27,L,Tap,1.2,1736.099,1740.814,4.715,G2,0.081,0.055,0.012,,,,,
3/14/2018,12,24,L,Lat,0.4,1736.283,1741.331,5.048,B6,0.085,0.061,0.012,,,,,
3/14/2018,17,33,L,Tap,1.0,1734.489,1738.621,4.132,E1,0.087,0.063,0.015,,,,,
3/14/2018,20,40,L,Lat,0.6,1779.100,1782.605,3.505,A12,0.083,0.059,0.017,,,,,
3/14/2018,14,28,L,Lat,0.2,1723.807,1727.274,3.467,C4,0.083,0.059,0.017,,,,,
3/14/2018,12,23,L,Tap,0.9,1734.005,1736.680,2.675,G4,0.073,0.051,0.019,,,,,
3/14/2018,11,22,L,Lat,0.3,1748.313,1749.915,1.602,A8,0.066,0.041,0.026,,,,,
3/14/2018,16,31,L,Tap,1.4,1732.611,1737.207,4.596,A7,0.145,0.120,0.026,,,,,
3/14/2018,19,38,L,Lat,0.4,1712.813,1714.972,2.159,C9,0.097,0.070,0.032,,,,,
3/14/2018,18,35,L,Tap,0.9,1733.786,1734.727,0.941,F3,0.059,0.034,0.036,,,,,
3/14/2018,18,36,L,Lat,0.6,1774.491,1777.003,2.512,G5,0.121,0.093,0.037,,,,,
3/20/2018,48,96,L,Lat,0.8,1784.346,1785.658,1.312,A4,0.075,0.052,0.040,,,,,
3/14/2018,16,32,L,Lat,0.5,1734.754,1737.120,2.366,G3,0.121,0.095,0.040,,,,,
3/27/2018,87,174,L,Lat,0.5,1726.810,1728.495,1.685,E5,0.101,0.076,0.045,,,,,
3/14/2018,11,21,L,Tap,1.1,1781.994,1782.503,0.509,E3,0.048,0.023,0.045,,,,,
3/14/2018,17,34,L,Lat,0.5,1731.283,1732.369,1.086,H5,0.076,0.050,0.046,,,,,
3/14/2018,15,29,L,Tap,1.4,1725.811,1728.727,2.916,F8,0.176,0.150,0.051,,,,,
3/14/2018,13,26,L,Lat,0.3,1769.623,1770.244,0.621,F9,0.058,0.032,0.052,,,,,
3/14/2018,13,25,L,Tap,1.2,1743.582,1744.633,1.051,B11,0.083,0.057,0.054,,,,,
3/20/2018,49,97,L,Tap,1.5,1728.377,1729.582,1.205,C6,0.090,0.067,0.056,,,,,
3/20/2018,46,92,L,Lat,0.7,1720.622,1721.344,0.722,E9,0.065,0.042,0.058,,,,,
3/20/2018,47,94,L,Lat,0.7,1787.604,1788.345,0.741,A8,0.068,0.045,0.061,,,,,
3/20/2018,50,100,L,Lat,0.6,1740.830,1741.681,0.851,A3,0.076,0.053,0.062,,,,,
3/27/2018,86,172,L,Lat,0.4,1735.837,1736.202,0.365,F1,0.049,0.024,0.066,,,,,
3/20/2018,49,98,L,Lat,0.6,1739.704,1740.387,0.683,H4,0.068,0.045,0.066,,,,,
3/27/2018,90,179,L,Tap,1,1754.728,1756.804,2.076,C7,0.171,0.146,0.070,,,,,
3/14/2018,15,30,L,Lat,0.2,1735.876,1737.388,1.512,C1,0.134,0.110,0.073,,,,,
3/20/2018,50,99,L,Tap,1.1,1749.766,1751.110,1.344,B2,0.122,0.099,0.074,,,,,
3/20/2018,48,95,L,Tap,1.6,1748.137,1749.458,1.321,G3,0.132,0.109,0.083,,,,,
3/27/2018,90,180,L,Lat,0.4,1723.473,1724.618,1.145,E1,0.120,0.095,0.083,,,,,
3/27/2018,88,175,L,Tap,1,1771.444,1772.961,1.517,H4,0.155,0.130,0.086,,,,,
3/20/2018,47,93,L,Tap,1.3,1731.423,1732.496,1.073,F1,0.120,0.097,0.090,,,,,
3/27/2018,87,173,L,Tap,0.9,1720.174,1721.065,0.891,H3,0.131,0.106,0.119,,,,,
3/27/2018,88,176,L,Lat,0.3,1732.010,1732.434,0.424,B12,0.083,0.058,0.137,,,,,
3/27/2018,86,171,L,Tap,1,1734.832,1735.498,0.666,B8,0.135,0.110,0.165,,,,,
3/27/2018,89,178,L,Lat,0.1,1692.430,1692.929,0.499,F8,0.122,0.097,0.194,,,,,
